Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
ABVC,ABVC BioPharma,13517312,1.20,-6.25%,Biotechnology,,14999209,Nano-Cap,Healthcare,,United States,California,16,,,152430,-31.92%,,,-149607,,,,,-10515656,-8216509,,,,,,,,,1,2,796092,2277989,9527,-657228,-4275781,8388050,-3201341,,,,-84.28%,-99.63%,,1315985,-25.43%,-33.12%,-29.43%,,-1481897,,-10.96%,14492599,6361627,-98.15%,-5390.35%,-6730.73%,-6898.68%,697.31%,2250904,58.46%,50.28,167.95%,,
ACIU,AC Immune,300652640,3.03,6.69%,Biotechnology,,190733398,Micro-Cap,Healthcare,,Switzerland,,133,,,17620238,-1.38%,16.45%,1,16342525,276.14%,1480000.00%,16.45%,-1.38%,-64563095,-59208943,,,,,,,,,2,1,113780455,3861213,132483,-485437,123197751,177373978,10159285,97.65%,85.89%,120.80%,276.14%,1480000.00%,1,192926,24.85%,46.13%,16.30%,46.51%,109919242,-16.89%,36.56%,201854089,24480111,92.75%,-336.03%,-339.78%,-366.41%,342.18%,149896,128.71%,41.34,0.06%,,
ACTG,Acacia Research,522453472,5.28,0.96%,Specialty Business Services,9.10,94805472,Small-Cap,Industrials,,United States,New York,170,,,125102000,61.35%,-0.99%,1,72273000,231.00%,1771.88%,5.25%,144.28%,55140000,20936000,,,,,,,-14.05%,,1,1,439909000,12261000,735894,324353,526876000,568266000,86967000,-73.91%,,,111.24%,603.54%,1,310683,-80.33%,698.76%,-52.80%,,427648000,32.06%,81.85%,633545000,43936000,57.77%,16.74%,52.40%,44.08%,0.59%,213203,145.72%,83.71,-1.20%,-24.20%,171.00%
ASO,Academy Sports and Outdoors,4872066048,67.90,3.70%,Specialty Retail,10.13,6220840048,Mid-Cap,Consumer Discretionary,8.91,United States,Texas,22000,,,6159291000,2.68%,4.96%,,2110211000,-4.62%,4.27%,8.57%,6.76%,519190000,677855000,-19.93%,-0.41%,17.26%,33.93%,-17.33%,6.67%,18.91%,54.75%,,1,347920000,1696694000,279968,23600,765042000,1954650000,537971000,-2.82%,5.18%,3.80%,-3.69%,2.77%,1,1585120,-4.07%,-5.70%,-5.58%,,-1348774000,,-27.68%,4676713000,2722063000,34.26%,11.01%,10.77%,8.43%,,1327909,119.37%,47.86,2.34%,-16.69%,30.82%
ACHC,Acadia Healthcare Company,7087803392,78.34,2.01%,Medical Care Facilities,,8486573392,Mid-Cap,Healthcare,21.62,United States,Tennessee,23500,500,2.17%,2928738000,11.91%,-0.56%,4,1027851000,12.54%,11.58%,2.11%,14.19%,-21667000,47018000,-89.41%,-15.62%,-48.74%,20.81%,,-5.55%,,,,,100073000,1498843000,124627,-922,-289781000,2781974000,-334367000,12.13%,8.61%,9.90%,12.20%,10.00%,13,482581,-1.95%,-0.58%,-22.54%,-14.04%,-1398770000,,-19.73%,5358841000,2471181000,35.10%,1.61%,-1.07%,-0.74%,,554152,87.08%,44.17,-0.33%,12.85%,11.88%
ACAD,ACADIA Pharmaceuticals,2931293952,18.20,2.30%,Biotechnology,,2534458952,Mid-Cap,Healthcare,27.44,United States,California,598,85,16.57%,726437000,18.03%,26.55%,8,684799000,35.05%,58.98%,26.50%,16.64%,-61286000,-73379000,,,,,,,,,1,1,444635000,47800000,1214778,-102485,361871000,431755000,-82764000,35.83%,19.70%,17.26%,40.45%,69.27%,5,1622201,-9.29%,-0.63%,2.44%,,396835000,7.28%,13.54%,748956000,317201000,94.27%,-10.10%,-7.03%,-8.44%,48.40%,1859939,87.22%,27.26,1.41%,79.71%,49.41%
AKR,Acadia Realty Trust,1819325056,16.70,4.51%,REIT - Retail,82.50,3695752056,Small-Cap,Real Estate,41.36,United States,New York,117,,,338692000,10.52%,5.46%,3,230216000,2.61%,4.04%,5.11%,14.62%,19873000,49076000,343.36%,14.82%,,12.25%,,-49.43%,,-8.77%,1,,25294000,1901721000,2894803,169855,,1636917000,,25.61%,5.98%,3.82%,3.80%,6.12%,11,708303,4.01%,2.65%,1.91%,4.17%,-1876427000,,-103.14%,4291154000,2157598000,67.97%,14.49%,5.96%,5.87%,,1181377,59.96%,52.52,0.09%,-2.60%,-11.09%
ACST,Acasti Pharma,31957960,3.40,,Biotechnology,,13490325,Nano-Cap,Healthcare,,Canada,,32,,,,,,,,,,,,-38774000,-35081883,,,,,,,,,,3,18485301,17665,,-1211687,18485301,47608077,17665,,,,,,,224109,-95.23%,-47.83%,-38.86%,-55.32%,18467635,-18.41%,57.79%,56076397,8468320,,,,,,26977,830.74%,62.32,,,
ACEL,Accel Entertainment,977661248,11.77,0.86%,Gambling,22.21,1258624248,Small-Cap,Consumer Discretionary,13.63,United States,Illinois,1330,,,1170420000,54.66%,28.42%,3,353225000,18.18%,8.88%,24.60%,49.71%,45603000,107407000,10.89%,1.42%,,33.99%,-38.46%,19.26%,,33.38%,,1,261611000,542574000,880015,34288,202944000,198404000,-30184000,3.64%,,4.29%,20.69%,6.83%,12,222602,0.10%,5.87%,16.84%,18.53%,-280963000,,-28.74%,912893000,714489000,30.18%,9.18%,5.62%,3.90%,,264945,84.02%,64.66,1.72%,1.11%,4.76%
AXDX,Accelerate Diagnostics,20454582,1.01,5.18%,Medical Devices,,35873582,Nano-Cap,Healthcare,,United States,Arizona,179,,,12004000,1.37%,15.00%,9,2758000,,-81.52%,-4.26%,-17.00%,-63229000,-57257000,,,,,,,,,4,1,21151000,36570000,67061,-353235,-5343000,-35033000,-24337000,-0.32%,,50.55%,-8.52%,11.45%,1,86549,-52.45%,,-37.19%,-20.85%,-15419000,,-75.38%,39324000,74357000,22.98%,-476.98%,-524.98%,-526.73%,215.04%,127577,67.84%,40.87,1.75%,18.27%,50.04%
ACN,Accenture,211498172416,340.94,1.35%,Information Technology Services,30.91,209531106416,Mega-Cap,Technology,27.89,Ireland,,733000,12000,1.66%,64573602000,12.23%,8.85%,13,21037109000,3.72%,0.90%,10.24%,13.30%,7031262000,8883522000,-5.58%,5.24%,9.31%,7.74%,1.32%,9.92%,8.81%,9.47%,,2,5125647000,3158581000,88095,9592,4192807000,27122853000,-139146000,4.31%,6.09%,7.49%,2.26%,-0.09%,,3263624,-1.56%,2.54%,-3.13%,165.11%,1967066000,-35.18%,0.93%,51307471000,23351047000,32.58%,13.76%,14.18%,10.89%,,2231198,146.27%,34.71,3.29%,3.44%,-3.34%
ACCO,ACCO Brands,525902816,5.62,1.44%,Business Equipment & Supplies,,1475702816,Small-Cap,Industrials,5.15,United States,Illinois,5600,,,1832800000,3.46%,-1.14%,,598300000,8.33%,17.00%,-0.96%,6.71%,-21800000,44700000,73.26%,,-26.46%,-24.89%,,,,,,,66400000,1016200000,327286,-3893,313400000,787000000,304200000,-1.95%,,2.45%,-5.89%,-2.16%,,445340,-7.02%,-3.71%,-6.17%,2.61%,-949800000,,-180.60%,2644800000,1857800000,32.64%,2.44%,-0.71%,-1.19%,,734593,60.62%,49.77,0.47%,-5.80%,-5.29%
ACCD,Accolade,770979712,9.99,0.30%,Health Information Services,,782660712,Small-Cap,Healthcare,,United States,Pennsylvania,2370,20,0.85%,388486000,35.67%,38.28%,5,173400000,4.19%,10.66%,49.28%,36.91%,-122731000,-137758000,,,,,,,,,,4,230017000,241698000,163918,-51785,156421000,434719000,-66696000,17.14%,19.13%,18.24%,8.55%,9.26%,15,400246,-24.03%,-22.97%,,63.20%,-11681000,,-1.52%,785471000,350752000,44.63%,-35.46%,-31.48%,-31.59%,25.50%,759245,52.72%,47.55,0.12%,-0.87%,35.57%
ARAY,Accuray,235030048,2.43,2.53%,Medical Devices,,362761048,Micro-Cap,Healthcare,24.81,United States,Wisconsin,1024,,,447482000,5.85%,1.68%,3,151791000,-2.30%,-16.44%,-1.11%,-0.72%,-14547000,108000,-95.26%,,-84.10%,,,,,,,,74492000,202223000,436994,-14206,121864000,47653000,59817000,5.30%,,5.95%,7.20%,-6.55%,,590915,-2.49%,-1.31%,-1.28%,8.13%,-127731000,,-54.35%,476350000,428697000,33.92%,0.02%,-2.38%,-3.25%,12.89%,427106,138.35%,39.31,0.87%,-1.81%,18.45%
ACBA,Ace Global Business Acquisition,41885788,12.05,,Shell Companies,,43876860,Nano-Cap,Financials,,Hong Kong,,,,,,,,,,,,,,1077894,-1194110,,,,,,,,,1,,75793,2066865,,,-3514690,-5369042,-1523618,,,,,,,410,,51.29%,,,-1991072,,-4.75%,25976261,5504835,,,,,,6500,6.31%,40.00,,,
SLRN,Acelyrin,647307712,6.75,1.50%,Biotechnology,,-139871288,Small-Cap,Healthcare,,United States,California,51,,,,,,,,,,,,-306236000,,,,,,,,,,,,788431000,1252000,,-6004627,727777000,732376000,-60654000,,,,,,,1275576,,-4.35%,,,787179000,,121.61%,800489000,68113000,,,,,,1263442,100.96%,38.33,,,
AVHI,Achari Ventures Holdings I,33316266,11.02,0.92%,Shell Companies,,33664456,Nano-Cap,Financials,,United States,New Jersey,3,,,,,,,,,,,,-2246992,-3130911,,,,,,,,,,,18810,367000,,-748997,-3259282,-7187282,-2911092,,,,,,,1488,,70.70%,,,-348190,,-1.05%,6888804,7215477,,,,,,742,200.54%,38.62,,,
ACHV,Achieve Life Sciences,154818592,4.52,-3.00%,Biotechnology,,151177592,Micro-Cap,Healthcare,,Canada,,20,,,,,,,,,,,,-35571000,-33726000,,,,,,,,,,2,19919000,16278000,,-1778550,17815000,4038000,-2043000,,,,,,,89490,3.12%,2.84%,317.93%,262.51%,3641000,51.02%,2.35%,24337000,20299000,,,,,,91283,98.04%,51.49,,,
ACHL,Achilles Therapeutics,50570796,1.20,-3.23%,Biotechnology,,-82216204,Micro-Cap,Healthcare,,United Kingdom,,234,,,,,,,,,,,,-75091000,-78575000,,,,,,,,,,,140138000,7351000,,-320902,137311000,153485000,1793000,,,,,,,357775,-18.21%,-14.80%,,,132787000,-22.30%,262.58%,175338000,21853000,,,,,,757742,47.22%,48.99,,,
ACIW,ACI Worldwide,3409472512,32.54,1.56%,Software - Infrastructure,29.05,4312311512,Mid-Cap,Technology,22.35,United States,Nebraska,3212,-137,-4.09%,1452579000,3.92%,7.54%,5,733368000,1.04%,7.97%,4.82%,2.96%,121509000,220408000,8.13%,16.25%,15.05%,11.85%,-14.54%,35.90%,18.70%,12.01%,,2,164239000,1067078000,452235,37830,369396000,1324297000,279562000,9.67%,,6.91%,2.16%,5.48%,2,357343,-5.05%,-2.12%,-3.70%,9.70%,-902839000,,-26.48%,3444739000,2120442000,50.49%,15.17%,10.16%,8.37%,9.69%,589380,60.63%,59.51,1.80%,7.94%,10.31%
ACON,Aclarion,2319648,0.33,0.34%,Health Information Services,,2875734,Nano-Cap,Healthcare,,United States,Colorado,4,,,84127,,,2,10526,,,,,-4437984,-4539447,,,,,,,,,,5,171450,727536,21032,-1109496,-2006251,-827980,-1450165,406.25%,,581.05%,68.59%,4.63%,5,263766,,512.21%,,,-556086,,-23.97%,1543219,2371199,12.51%,-5395.95%,-5275.34%,-5275.34%,1036.12%,1945504,13.56%,24.58,,579.40%,-27.92%
ACRS,Aclaris Therapeutics,88656248,1.26,6.78%,Diagnostics & Research,,-30023752,Micro-Cap,Healthcare,,United States,Pennsylvania,86,,,31249000,68.93%,38.41%,4,13168000,-25.99%,78.59%,48.52%,113.72%,-88481000,-124257000,,,,,,,,,,1,119106000,426000,363360,-1028849,97904000,157179000,-20776000,-79.84%,12.29%,6.41%,5.03%,126.62%,1,1273153,-37.72%,37.42%,-66.43%,-57.31%,118680000,-45.28%,133.87%,197405000,40226000,42.14%,-397.64%,-284.32%,-283.15%,314.84%,1777608,71.62%,54.24,-1.17%,-44.86%,-24.93%
ACMR,ACM Research,1811161344,28.70,-3.19%,Semiconductor Equipment & Materials,24.74,1622816344,Small-Cap,Technology,19.26,United States,California,1590,,,557723000,52.71%,49.52%,7,276215000,50.43%,46.97%,51.64%,58.32%,77349000,95839000,62.34%,40.22%,64.60%,71.44%,97.00%,49.89%,60.29%,63.73%,3,4,287441000,99096000,350769,48647,675451000,767390000,428892000,28.33%,19.92%,23.71%,43.44%,56.92%,7,1309708,24.65%,13.17%,25.60%,60.01%,188345000,-28.38%,10.40%,1490908000,564746000,49.53%,17.18%,17.34%,13.87%,16.62%,1763311,74.28%,54.93,3.47%,109.36%,18.53%
ACU,Acme United,168736304,46.12,-0.04%,Household & Personal Products,9.23,189123632,Micro-Cap,Consumer Staples,17.15,United States,Connecticut,645,,,191500947,5.30%,6.88%,,72210235,13.61%,16.47%,7.35%,6.61%,17793160,13188617,110.23%,,4.94%,12.08%,486.31%,,30.00%,31.08%,1,4,5545953,25933281,296901,27586,66011846,97898684,61984144,7.95%,,,-1.27%,-4.92%,,21040,-59.37%,-43.85%,-18.54%,-10.03%,-20387328,,-12.08%,149241316,51342632,37.71%,6.89%,11.87%,9.29%,,23981,87.74%,59.01,2.58%,5.55%,5.54%
ACNB,ACNB Corporation,300747776,36.89,4.33%,Banks - Regional,9.92,489578776,Micro-Cap,Financials,10.78,United States,Pennsylvania,413,,,105921000,8.03%,8.20%,12,105921000,0.65%,-25.63%,8.20%,8.03%,31688000,39849000,-11.35%,-62.92%,20.63%,8.32%,-11.37%,-59.83%,19.88%,7.82%,,,65958000,254789000,256467,76726,,277461000,,3.99%,,4.12%,0.65%,-25.63%,,14563,285.37%,63.15%,38.77%,16.61%,-188831000,,-62.79%,2418847000,2141386000,100.00%,37.62%,37.62%,29.92%,,17931,81.22%,53.86,7.70%,-3.76%,-2.94%
ACOR,Acorda Therapeutics,15402040,11.91,-3.87%,Drug Manufacturers - Specialty & Generic,,167907040,Nano-Cap,Healthcare,,United States,New York,111,,,111118000,-12.40%,-28.40%,,96872000,2.95%,8.10%,-27.63%,-10.24%,-15951000,-20428000,,,,,,,,,1,5,33584000,186089000,1001063,-143703,27434000,58957000,-4572000,,,,-10.43%,-17.30%,,2510,-3.96%,2.53%,-10.12%,-11.43%,-152505000,,-990.16%,366344000,307387000,87.18%,-18.38%,-16.72%,-14.36%,4.81%,3747,66.99%,39.66,-2.36%,,
ACR,ACRES Commercial Realty,100264160,13.66,5.56%,REIT - Mortgage,39.03,1728854160,Micro-Cap,Real Estate,6.15,United States,New York,4,,,91131000,21.90%,10.51%,2,81091000,25.58%,-0.19%,14.44%,25.40%,2968000,20673000,166.27%,,,-7.92%,,,,-15.70%,1,4,91886000,1720476000,22782750,742000,,435796000,,3.74%,,,21.23%,-3.42%,,24726,-9.96%,-3.50%,9.57%,2.05%,-1628590000,,-1624.30%,2196105000,1749890000,88.98%,22.68%,24.68%,3.26%,,33619,73.55%,73.62,0.11%,0.24%,-4.22%
ACAC,Acri Capital Acquisition,60768896,11.21,-0.18%,Shell Companies,,60631400,Micro-Cap,Financials,,United States,Texas,,,,,,,,,,,,,581527,-910196,,,,,,,,,,1,365227,227731,,,-428745,-2895662,-566241,,,,,,,50400,-3.33%,,,,137496,,0.23%,38786926,2986818,,,,,,20929,240.81%,58.07,,,
ACRV,Acrivon Therapeutics,133165800,6.47,2.13%,Biotechnology,2.07,-4915200,Micro-Cap,Healthcare,,United States,Massachusetts,56,,,,,,,,,,,,-50065000,-55995000,,,,,,,,,,,142501000,4420000,,-894018,135193000,138149000,-6532000,,,,,,,26400,-13.96%,-3.93%,,,138081000,91.58%,103.69%,151092000,12943000,,,,,,74900,35.25%,65.13,,,
ASNS,Actelis Networks,3048624,1.02,-6.42%,Communication Equipment,,6058624,Nano-Cap,Technology,,United States,California,44,,,5606000,-13.06%,,,1900000,-53.77%,-66.95%,,-27.48%,-6286000,-7363000,,,,,,,,,1,5,2382000,5392000,127409,-142864,-1000000,229000,-1549000,,,,-36.52%,-59.87%,,4752,-7.99%,12.61%,-6.44%,,-3010000,,-98.73%,11223000,10835000,33.89%,-131.34%,-112.13%,-112.13%,48.20%,67701,7.02%,43.82,,,
ATNM,Actinium Pharmaceuticals,225445296,7.94,-2.22%,Biotechnology,,144678296,Micro-Cap,Healthcare,6.84,United States,New York,49,,,,,,,,,,,,-50141000,-52868000,,,,,,,,,,,82978000,2211000,,-1023286,76924000,43583000,-5532000,-82.16%,175.91%,2049.39%,,,,463211,-14.99%,-5.39%,36.10%,,80767000,-26.31%,35.83%,88944000,45361000,,,,,,311495,148.71%,54.34,,,
AYI,Acuity Brands,8253971456,267.59,-0.09%,Electrical Equipment & Parts,22.90,8325671456,Mid-Cap,Industrials,18.43,United States,Georgia,12200,-1000,-7.58%,3889000000,5.80%,0.62%,,1725100000,1.27%,2.86%,2.79%,7.75%,371700000,497400000,-1.21%,22.04%,11.79%,1.71%,0.11%,34.31%,14.00%,0.77%,,1,513300000,585000000,318770,30467,873500000,2064100000,379500000,-0.92%,,3.96%,-4.63%,-6.33%,,210576,1.85%,-0.98%,0.51%,10.40%,-71700000,,-0.87%,3463900000,1399800000,44.36%,12.79%,12.46%,9.56%,,259231,81.23%,69.95,2.90%,0.10%,-8.31%
ABOS,Acumen Pharmaceuticals,217164368,4.10,9.33%,Biotechnology,,4456368,Micro-Cap,Healthcare,,United States,Virginia,39,,,,,,,,,,,,-52371000,-61138000,,,,,,,,,,,243755000,31047000,,-1342846,233644000,266973000,-9245000,,,,,,,599997,29468.57%,1552250.00%,,,212708000,19.84%,97.95%,310125000,43152000,,,,,,414568,144.73%,51.87,,,
ACXP,Acurx Pharmaceuticals,32774766,2.33,12.02%,Biotechnology,,25300578,Nano-Cap,Healthcare,,United States,New York,4,,,,,,,,,,,,-14577768,-14577768,,,,,,,,,,,7474188,,,-3644442,4666685,4666685,-2807503,,,,,,,86618,,,,,7474188,-17.97%,22.80%,7709123,3042438,,,,,,179480,48.26%,39.45,,,
GOLF,Acushnet Holdings,4213825536,66.34,1.98%,Leisure,22.56,4849557536,Mid-Cap,Consumer Discretionary,20.19,United States,Massachusetts,7300,,,2381995000,13.90%,7.83%,3,1252511000,6.21%,-6.19%,8.26%,14.71%,198429000,282888000,3.73%,,30.03%,10.89%,-0.43%,,27.38%,14.72%,,,65435000,701167000,326301,27182,545557000,864235000,509470000,5.71%,,3.93%,4.92%,-7.70%,,275734,23.48%,18.28%,28.05%,12.83%,-635732000,,-15.09%,2196677000,1283805000,52.58%,11.88%,10.14%,8.33%,2.72%,324637,84.94%,59.04,1.80%,2.41%,5.97%
AFIB,Acutus Medical,6039513,0.20,0.05%,Medical Devices,,-520487,Nano-Cap,Healthcare,,United States,California,225,,,19659000,44.18%,,,-12110000,,,,,-32790000,-30567000,,,,,,,,,1,1,45490000,38930000,87373,-145733,57870000,31706000,13087000,29.66%,,53.13%,24.72%,43.74%,4,1425722,0.06%,0.39%,-1.74%,,6560000,-76.19%,108.62%,84728000,53022000,-61.60%,-155.49%,-166.00%,-166.79%,121.98%,2340409,60.92%,50.33,0.80%,33.82%,58.25%
ACVA,ACV Auctions,3091003136,18.86,1.67%,Auto & Truck Dealerships,,2675637136,Mid-Cap,Consumer Discretionary,454.55,United States,New York,2170,170,8.50%,481234000,32.19%,,4,236780000,28.08%,27.87%,,35.44%,-75261000,-89677000,,,,,,,,,1,6,530366000,115000000,221767,-34682,372958000,456528000,-157408000,29.96%,26.60%,25.64%,14.16%,20.83%,4,576349,52.32%,9.52%,155.42%,,415366000,-16.80%,13.44%,922924000,466396000,49.20%,-18.63%,-15.53%,-15.64%,29.29%,1266077,45.52%,65.30,0.11%,22.81%,30.08%
ADAG,Adagene,110732920,2.55,1.59%,Biotechnology,,7211663,Micro-Cap,Healthcare,,China,,248,,,22665295,,,,22665295,1194.98%,,,,-36437854,-39157837,,,,,,,,,,,128759962,25238705,91392,-146927,93686996,82793528,-23323695,,55.11%,,1194.98%,,,6147,228.88%,-9.77%,,,103521257,-48.39%,93.49%,135302264,52508736,100.00%,-172.77%,-151.00%,-160.76%,253.61%,113636,5.41%,37.34,9.76%,,
JEWL,Adamas One,10707705,0.43,,Luxury Goods,,13934440,Nano-Cap,Consumer Discretionary,,United States,Arizona,12,,,1818042,,,,1179500,59.60%,-81.78%,,,-22578657,-18923494,,,,,,,,,1,,650781,3877516,151504,-1881555,-6035295,3811642,-3994832,,,,65.04%,-52.85%,,236038,-46.24%,68.40%,,,-3226735,,-30.13%,13175676,9364034,64.88%,-1040.87%,-1241.92%,-1241.92%,,129772,181.89%,48.87,,,
AE,Adams Resources & Energy,68337056,27.09,1.73%,Oil & Gas Refining & Marketing,338.63,76692056,Micro-Cap,Energy,,United States,Texas,741,,,2745293000,38.99%,9.42%,,45194000,-2.17%,225.69%,16.57%,25.05%,212000,2399000,-58.43%,,,11.25%,-93.92%,,-40.27%,-40.92%,,2,45246000,53601000,3704849,286,21684000,92716000,-12027000,3.52%,,,-18.46%,-5.08%,,3701,10.38%,-7.38%,31.32%,67.28%,-8355000,,-12.23%,361334000,268618000,1.65%,0.09%,0.02%,0.01%,,10409,35.56%,59.30,0.01%,-11.08%,-10.84%
AHCO,AdaptHealth,1513146240,11.36,0.71%,Medical Devices,,3730663240,Small-Cap,Healthcare,13.57,United States,Pennsylvania,10700,,,3200177000,44.69%,35.28%,4,479564000,14.89%,97.50%,3.04%,44.85%,-678895000,-598401000,,,,,,,,,,,77132000,2294649000,299082,-63448,112023000,1458454000,126651000,5.71%,,6.24%,7.73%,9.99%,16,835478,-1.47%,-0.35%,41.67%,71.39%,-2217517000,,-146.55%,4508650000,3041981000,14.99%,-18.70%,-22.75%,-21.21%,,1151847,72.53%,71.08,-1.53%,5.46%,5.57%
ADAP,Adaptimmune Therapeutics,389983488,1.58,3.95%,Biotechnology,,265254488,Small-Cap,Healthcare,,United Kingdom,,449,,,60281000,147.88%,0.26%,4,60281000,122.05%,-97.91%,0.26%,147.88%,-113871000,-139741000,,,,,,,,,1,,149964000,25235000,134256,-253610,134764000,39513000,-9816000,-25.35%,16.16%,-7.94%,122.05%,-97.91%,,1180018,9.35%,-1.43%,2.10%,,124729000,-31.88%,31.98%,282616000,243103000,100.00%,-231.82%,-186.68%,-188.90%,209.87%,1895698,62.25%,58.01,2.22%,-87.93%,356.63%
ADPT,Adaptive Biotechnologies,412786752,2.89,0.35%,Biotechnology,,292885752,Small-Cap,Healthcare,,United States,Washington,709,,,170276000,20.06%,25.06%,,94723000,-25.65%,-32.22%,21.35%,7.69%,-225250000,-227035000,,,,,,,,,,,349333000,229432000,240164,-317701,322173000,308399000,-17776000,5.20%,,25.84%,-8.11%,-17.05%,,3360239,-1.68%,-0.78%,28.61%,,119901000,-55.13%,29.05%,661134000,352856000,55.63%,-133.33%,-132.29%,-132.29%,71.72%,1438060,233.66%,30.57,,3.53%,-9.60%
ADCT,ADC Therapeutics,359003744,4.20,-3.45%,Biotechnology,,204782744,Small-Cap,Healthcare,,Switzerland,,273,,,69558000,,,,67029000,-67.56%,-76.57%,,,-240053000,-165986000,,,,,,,,,,,278598000,124377000,254791,-879315,268621000,-148249000,-8510000,18.28%,36.61%,22.31%,-66.86%,-75.94%,,235123,5.97%,0.69%,2.62%,,154221000,-26.23%,42.96%,354782000,503031000,96.36%,-238.63%,-288.89%,-345.11%,182.76%,823927,28.54%,47.44,56.22%,-0.45%,8.34%
ATXG,Addentax Group,3947090,0.97,5.72%,Integrated Freight & Logistics,,22993108,Nano-Cap,Industrials,,China,,96,,,5147842,-39.29%,,,1013877,-53.30%,-73.28%,,,-2751996,-1501675,,,,,,,,,2,,3748254,22794272,53623,-28667,24884312,24243722,22524886,,,,-45.86%,-30.80%,,84211,518.33%,1.63%,24.69%,,-19046018,,-482.53%,53785529,29541807,19.70%,-29.17%,-53.25%,-53.46%,,144739,58.18%,46.06,0.21%,,
ADXN,Addex Therapeutics,14228239,12.35,0.08%,Biotechnology,,9335512,Nano-Cap,Healthcare,,Switzerland,,24,,,2241425,-12.55%,32.77%,,2276880,65.32%,-20.80%,32.77%,-12.55%,-12338029,-12253115,,,,,,,,,,4,5249718,356990,93393,-514085,4208702,4355248,-813103,154.75%,19.20%,-15.21%,65.32%,-20.80%,,4209,-27.69%,39.05%,6.33%,,4892727,-55.59%,34.39%,6777383,2422135,101.58%,-546.67%,-559.16%,-550.45%,383.13%,9801,42.94%,63.15,,,
ADUS,Addus HomeCare,1665564160,103.74,1.15%,Medical Care Facilities,27.09,1775955160,Small-Cap,Healthcare,21.26,United States,Texas,34846,1664,5.01%,1058651000,11.45%,15.43%,13,339876000,13.39%,17.32%,19.96%,14.53%,62516000,90956000,32.32%,34.38%,26.90%,31.85%,35.83%,32.62%,23.57%,30.63%,6,5,64791000,175182000,30381,1794,54887000,706694000,1435000,10.23%,,5.40%,11.31%,11.86%,45,73182,-1.61%,-19.26%,-8.73%,58.92%,-110391000,,-6.63%,1024426000,317732000,32.10%,8.59%,7.68%,5.91%,,114578,63.87%,65.64,1.78%,13.34%,11.56%
AGRO,Adecoagro,1144864768,10.95,1.39%,Farm Products,7.88,2025905768,Small-Cap,Consumer Staples,8.73,Luxembourg,,9776,672,7.38%,1298871000,16.68%,10.37%,,325691000,19.75%,-21.26%,12.19%,16.53%,226291000,151869000,229.83%,296.69%,36.80%,1.47%,109.26%,2442.95%,718.95%,,1,3,402418000,1283459000,132863,23148,561620000,1229128000,419249000,12.25%,,-1.37%,-3.62%,-28.97%,,436658,-4.63%,-12.37%,3.23%,8.28%,-881041000,,-76.96%,3164894000,1899246000,25.07%,11.69%,23.48%,17.42%,,491298,88.88%,67.34,6.06%,,
ADEA,Adeia,1155355904,10.81,2.27%,Software - Application,18.02,1667208904,Small-Cap,Technology,8.11,United States,California,130,10,8.33%,388788000,-24.18%,-0.87%,,388788000,-11.42%,-15.90%,-0.21%,-21.82%,67372000,136230000,-11.00%,-30.01%,-8.46%,41.54%,,-82.77%,-22.86%,,1,,83572000,595425000,2990677,518246,103804000,356622000,86377000,4.92%,,5.03%,-11.42%,-15.90%,,399471,-18.90%,-3.47%,-13.04%,4.31%,-511853000,,-44.30%,1105556000,748934000,100.00%,35.04%,20.57%,17.33%,13.96%,542297,73.66%,42.93,3.24%,-28.83%,24.00%
ADIL,Adial Pharmaceuticals,2270568,1.40,2.56%,Biotechnology,,1954688,Nano-Cap,Healthcare,,United States,Virginia,16,,,,,,,,,,,,-6069703,-8996077,,,,,,,,,1,7,315880,,,-379356,607307,2339258,291427,,,,,,,185136,,,,,315880,-94.29%,13.91%,2867437,528179,,,,,,4060788,4.56%,43.18,,,
ACET,Adicet Bio,184024960,2.33,4.02%,Biotechnology,,45237960,Micro-Cap,Healthcare,,United States,New York,143,,,,,,,,,,,,-142658000,-152038000,,,,,,,,,,1,159711000,20924000,,-997608,142985000,170175000,-13505000,,,33.31%,,,,612986,-0.47%,-4.01%,-1.11%,,138787000,-41.35%,75.42%,207295000,37120000,,,,,,1802216,34.01%,50.45,,,
